"データID","FRPリスト名","型式確認","品番","図番"
"zcrm_7345477000010940116","FRPタンク（槽のみ）　縦型","CRK50-06C","026099000","CK01-No15A"
"zcrm_7345477000025727243","CRKUF-12C-5.25S","CRKUF-12C-5.25S","021997000","CKU13-No30B"
"zcrm_7345477000025727309","CRKUFC-12C-5.25S","CRKUFC-12C-5.25S","022154000","CKU14-No30B"
"zcrm_7345477000025727429","CRKUFCT-17D-5.25S","CRKUFCT-17D-5.25S","022351000","CKU16-No28B"
"zcrm_7345477000025727375","CRKUFT-17D-5.25S","CRKUFT-17D-5.25S","022258000","CKU15-No28B"
"zcrm_7345477000025677891","CRKUR-12C-5.15S","CRKUR-12C-5.15S","021270000","CKU03-No06C"
"zcrm_7345477000025677979","CRKURC-12C-5.15S","CRKURC-12C-5.15S","021402000","CKU04-No06C"
"zcrm_7345477000025727156","CRKURCT-15C-5.15S","CRKURCT-15C-5.15S","021737000","CKU06-No06C"
"zcrm_7345477000025727068","CRKURT-15C-5.15S","CRKURT-15C-5.15S","021593000","CKU05-No06C"
"zcrm_7345477000025677715","CRKUSR-12B-5.15S","CRKUSR-12B-5.15S","020895000","CKU01-No06B"
"zcrm_7345477000025677803","CRKUSRC-12B-5.15S","CRKUSRC-12B-5.15S","021003000","CKU02-No06C"
"zcrm_7345477000010940125","FRPタンク（槽のみ）　縦型","CRK50-06D","026100000","CK01-No25A"
"zcrm_7345477000025727244","CRKUF-15C-5.25S","CRKUF-15C-5.25S","021998000","CKU13-No31B"
"zcrm_7345477000025727310","CRKUFC-15C-5.25S","CRKUFC-15C-5.25S","022155000","CKU14-No31B"
"zcrm_7345477000025727430","CRKUFCT-18D-5.25S","CRKUFCT-18D-5.25S","022352000","CKU16-No29B"
"zcrm_7345477000025727376","CRKUFT-18D-5.25S","CRKUFT-18D-5.25S","022259000","CKU15-No29B"
"zcrm_7345477000025677892","CRKUR-15C-5.15S","CRKUR-15C-5.15S","021279000","CKU03-No07C"
"zcrm_7345477000025677980","CRKURC-15C-5.15S","CRKURC-15C-5.15S","021403000","CKU04-No07C"
"zcrm_7345477000025727157","CRKURCT-17C-5.15S","CRKURCT-17C-5.15S","021739000","CKU06-No07C"
"zcrm_7345477000025727069","CRKURT-17C-5.15S","CRKURT-17C-5.15S","021594000","CKU05-No07C"
"zcrm_7345477000025677716","CRKUSR-15B-5.15S","CRKUSR-15B-5.15S","020896000","CKU01-No07B"
"zcrm_7345477000025677804","CRKUSRC-15B-5.15S","CRKUSRC-15B-5.15S","021004000","CKU02-No07C"
"zcrm_7345477000010940106","FRPタンク（槽のみ）　縦型","CRK50-07B","026101000","CK01-No04A"
"zcrm_7345477000025727245","CRKUF-17C-5.25S","CRKUF-17C-5.25S","022004000","CKU13-No32B"
"zcrm_7345477000025727311","CRKUFC-17C-5.25S","CRKUFC-17C-5.25S","022165000","CKU14-No32B"
"zcrm_7345477000025727431","CRKUFCT-22D-5.25S","CRKUFCT-22D-5.25S","022354000","CKU16-No31B"
"zcrm_7345477000025727377","CRKUFT-22D-5.25S","CRKUFT-22D-5.25S","022261000","CKU15-No31B"
"zcrm_7345477000025677893","CRKUR-17C-5.15S","CRKUR-17C-5.15S","021280000","CKU03-No08C"
"zcrm_7345477000025677981","CRKURC-17C-5.15S","CRKURC-17C-5.15S","021404000","CKU04-No08C"
"zcrm_7345477000025727158","CRKURCT-18C-5.15S","CRKURCT-18C-5.15S","021740000","CKU06-No08C"
"zcrm_7345477000025727070","CRKURT-18C-5.15S","CRKURT-18C-5.15S","021596000","CKU05-No08C"
"zcrm_7345477000025677717","CRKUSR-17B-5.15S","CRKUSR-17B-5.15S","020897000","CKU01-No08B"
"zcrm_7345477000025677805","CRKUSRC-17B-5.15S","CRKUSRC-17B-5.15S","021007000","CKU02-No08C"
"zcrm_7345477000010940117","FRPタンク（槽のみ）　縦型","CRK50-07C","026102000","CK01-No16A"
"zcrm_7345477000025727246","CRKUF-18C-5.25S","CRKUF-18C-5.25S","022007000","CKU13-No33B"
"zcrm_7345477000025727312","CRKUFC-18C-5.25S","CRKUFC-18C-5.25S","022166000","CKU14-No33B"
"zcrm_7345477000025727432","CRKUFCT-26D-5.25S","CRKUFCT-26D-5.25S","022355000","CKU16-No32B"
"zcrm_7345477000025727378","CRKUFT-26D-5.25S","CRKUFT-26D-5.25S","022272000","CKU15-No32B"
"zcrm_7345477000025677894","CRKUR-18C-5.15S","CRKUR-18C-5.15S","021281000","CKU03-No09C"
"zcrm_7345477000025677982","CRKURC-18C-5.15S","CRKURC-18C-5.15S","021405000","CKU04-No09C"
"zcrm_7345477000025727159","CRKURCT-22C-5.15S","CRKURCT-22C-5.15S","021742000","CKU06-No10C"
"zcrm_7345477000025727071","CRKURT-22C-5.15S","CRKURT-22C-5.15S","021598000","CKU05-No10C"
"zcrm_7345477000025677718","CRKUSR-18B-5.15S","CRKUSR-18B-5.15S","020898000","CKU01-No09B"
"zcrm_7345477000025677806","CRKUSRC-18B-5.15S","CRKUSRC-18B-5.15S","021015000","CKU02-No09C"
"zcrm_7345477000010940126","FRPタンク（槽のみ）　縦型","CRK50-07D","026103000","CK01-No26A"
"zcrm_7345477000025727247","CRKUF-22C-5.25S","CRKUF-22C-5.25S","022009000","CKU13-No35B"
"zcrm_7345477000025727313","CRKUFC-22C-5.25S","CRKUFC-22C-5.25S","022168000","CKU14-No35B"
"zcrm_7345477000025727795","CRKUFCT-06D-5.25","CRKUFCT-06D-5.25","030505000","CKU16-No33B"
"zcrm_7345477000025727831","CRKUFT-06D-5.25","CRKUFT-06D-5.25","030545000","CKU15-No33B"
"zcrm_7345477000025677895","CRKUR-22C-5.15S","CRKUR-22C-5.15S","021283000","CKU03-No11C"
"zcrm_7345477000025677983","CRKURC-22C-5.15S","CRKURC-22C-5.15S","021407000","CKU04-No11C"
"zcrm_7345477000025727160","CRKURCT-26C-5.15S","CRKURCT-26C-5.15S","021743000","CKU06-No11C"
"zcrm_7345477000025727072","CRKURT-26C-5.15S","CRKURT-26C-5.15S","021599000","CKU05-No11C"
"zcrm_7345477000025677719","CRKUSR-22B-5.15S","CRKUSR-22B-5.15S","020900000","CKU01-No11B"
"zcrm_7345477000025677807","CRKUSRC-22B-5.15S","CRKUSRC-22B-5.15S","021017000","CKU02-No11C"
"zcrm_7345477000010940107","FRPタンク（槽のみ）　縦型","CRK50-10B","026104000","CK01-No05A"
"zcrm_7345477000025727248","CRKUF-26C-5.25S","CRKUF-26C-5.25S","022010000","CKU13-No36B"
"zcrm_7345477000025727314","CRKUFC-26C-5.25S","CRKUFC-26C-5.25S","022169000","CKU14-No36B"
"zcrm_7345477000025727796","CRKUFCT-07D-5.25","CRKUFCT-07D-5.25","030506000","CKU16-No34B"
"zcrm_7345477000025727832","CRKUFT-07D-5.25","CRKUFT-07D-5.25","030546000","CKU15-No34B"
"zcrm_7345477000025677896","CRKUR-26C-5.15S","CRKUR-26C-5.15S","021284000","CKU03-No12C"
"zcrm_7345477000025677984","CRKURC-26C-5.15S","CRKURC-26C-5.15S","021408000","CKU04-No12C"
"zcrm_7345477000025727977","CRKURCT-04C-5.15","CRKURCT-04C-5.15","031133000","CKU06-No12B"
"zcrm_7345477000025727074","CRKURT-04C-5.25S","CRKURT-04C-5.25S","021601000","CKU15-No01C"
"zcrm_7345477000025677720","CRKUSR-26B-5.15S","CRKUSR-26B-5.15S","020901000","CKU01-No12B"
"zcrm_7345477000025677808","CRKUSRC-26B-5.15S","CRKUSRC-26B-5.15S","021019000","CKU02-No12C"
"zcrm_7345477000010940118","FRPタンク（槽のみ）　縦型","CRK50-10C","026105000","CK01-No17A"
"zcrm_7345477000025727707","CRKUF-02C-5.25","CRKUF-02C-5.25","030029000","CKU13-No37B"
